station_id,station,lines,local_authority,fare_zone,opened_on,annual_usage,area_served,url
148,Mill Hill East,N,Barnet,4,18 May 1941,1.41,Mill Hill,https://www.google.com/maps?q=Mill+Hill+East+Underground+station
149,Monument,OD,City of London,1,6 Oct 1884,34.41,City of London,https://www.google.com/maps?q=Monument+Underground+station
150,Moorgate,OHMN,City of London,1,23 Dec 1865,20.01,Moorgate,https://www.google.com/maps?q=Moorgate+Underground+station
151,Moor Park,M,Three Rivers,67,9 May 1910,0.73,Moor Park,https://www.google.com/maps?q=Moor+Park+Underground+station
152,Morden,N,Merton,4,13 Sep 1926,7.68,Morden,https://www.google.com/maps?q=Morden+Underground+station
153,Mornington Crescent,N,Camden,2,22 Jun 1907,2.67,Camden Town,https://www.google.com/maps?q=Mornington+Crescent+Underground+station
154,Neasden,J,Brent,3,2 Aug 1880,2.49,Neasden,https://www.google.com/maps?q=Neasden+Underground+station
155,Newbury Park,C,Redbridge,4,14 Dec 1947,3.53,Newbury Park,https://www.google.com/maps?q=Newbury+Park+Underground+station
156,Nine Elms,N,Wandsworth,1,20 Sep 2021[4],3.47,Nine Elms,https://www.google.com/maps?q=Nine+Elms+Underground+station
157,North Acton,C,Ealing,23,5 Nov 1923,5.23,Acton,https://www.google.com/maps?q=North+Acton+Underground+station
158,North Ealing,P,Ealing,3,23 Jun 1903,0.59,Ealing,https://www.google.com/maps?q=North+Ealing+Underground+station
159,North Greenwich,J,Greenwich,23,14 May 1999,21.2,Greenwich,https://www.google.com/maps?q=North+Greenwich+Underground+station
160,North Harrow,M,Harrow,5,22 Mar 1915,1.31,Harrow,https://www.google.com/maps?q=North+Harrow+Underground+station
161,North Wembley,B,Brent,4,16 Apr 1917,1.2,North Wembley,https://www.google.com/maps?q=North+Wembley+Underground+station
162,Northfields,P,Ealing,3,16 Apr 1908,2.63,Northfields,https://www.google.com/maps?q=Northfields+Underground+station
163,Northolt,C,Ealing,5,21 Nov 1948,3.96,Northolt,https://www.google.com/maps?q=Northolt+Underground+station
164,Northwick Park,M,Brent,4,28 Jun 1923,3.17,Kenton,https://www.google.com/maps?q=Northwick+Park+Underground+station
165,Northwood,M,Hillingdon,6,1 Sep 1887,2.04,Northwood,https://www.google.com/maps?q=Northwood+Underground+station
166,Northwood Hills,M,Hillingdon,6,13 Nov 1933,1.34,Northwood,https://www.google.com/maps?q=Northwood+Hills+Underground+station
167,Notting Hill Gate,COD,Kensington and Chelsea,12,1 Oct 1868,11.69,Notting Hill,https://www.google.com/maps?q=Notting+Hill+Gate+Underground+station
168,Oakwood,P,Enfield,5,13 Mar 1933,2.23,Oakwood,https://www.google.com/maps?q=Oakwood+Underground+station
169,Old Street,N,Islington Hackney,1,17 Nov 1901,16.18,St Luke's,https://www.google.com/maps?q=Old+Street+Underground+station
170,Osterley,P,Hounslow,4,1 May 1883,1.74,Osterley,https://www.google.com/maps?q=Osterley+Underground+station
171,Oval,N,Lambeth,2,18 Dec 1890,5.36,Oval,https://www.google.com/maps?q=Oval+Underground+station
172,Oxford Circus,BCV,City of Westminster,1,30 Jul 1900,54.02,West End,https://www.google.com/maps?q=Oxford+Circus+Underground+station
